'eventId','timestamp','srcIp','srcName','dstIp','dstName','srcPort','dstPort','sigName','sigId','status_type','status_value',
'6567504096564499','1557261957.075','10.24.219.2','','10.25.7.6','','54099','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style)','1:2025649','0','0',
'6567504096564500','1557261957.075','10.24.219.2','','10.25.7.6','','54099','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','0','0',
'6567504096564457','1557261861.094','10.24.219.2','','10.25.0.200','','59396','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','0','0',
'6567504096564459','1557261861.094','10.24.219.2','','10.25.0.200','','59396','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style)','1:2025649','0','0',
'6567504096564429','1557261688.345','10.24.219.2','','10.25.0.46','','55811','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style)','1:2025649','0','0',
'6567504096564430','1557261688.345','10.24.219.2','','10.25.0.46','','55811','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','0','0',
'6567504096564421','1557261671.154','10.25.0.41','','10.24.219.2','','445','58258','ET EXPLOIT Possible DOUBLEPULSAR Beacon Response','1:2024216','4','4',
'6567504096564424','1557261670.966','10.25.0.41','','10.24.219.2','','445','58258','ET EXPLOIT Possible DOUBLEPULSAR Beacon Response','1:2024216','4','4',
'6567504096564407','1557261669.842','10.25.0.41','','10.24.219.2','','445','58258','ET EXPLOIT Possible DOUBLEPULSAR Beacon Response','1:2024216','4','4',
'6567504096564404','1557261669.648','10.25.0.41','','10.24.219.2','','445','58258','ET EXPLOIT Possible DOUBLEPULSAR Beacon Response','1:2024216','4','4',
'6567504096564397','1557261663.819','10.25.0.41','','10.24.219.2','','445','58258','ET EXPLOIT Possible DOUBLEPULSAR Beacon Response','1:2024216','4','4',
'6567504096564400','1557261663.633','10.25.0.41','','10.24.219.2','','445','58258','ET EXPLOIT Possible DOUBLEPULSAR Beacon Response','1:2024216','4','4',
'6567504096564398','1557261662.296','10.25.0.41','','10.24.219.2','','445','58258','ET EXPLOIT Possible DOUBLEPULSAR Beacon Response','1:2024216','4','4',
'6567504096564399','1557261661.723','10.25.0.41','','10.24.219.2','','445','58258','ET EXPLOIT Possible DOUBLEPULSAR Beacon Response','1:2024216','4','4',
'6567504096564384','1557261611.435','10.25.0.41','','10.24.219.2','','445','58258','ET EXPLOIT Possible DOUBLEPULSAR Beacon Response','1:2024216','4','4',
'6567504096564382','1557261610.278','10.25.0.41','','10.24.219.2','','445','58258','ET EXPLOIT Possible DOUBLEPULSAR Beacon Response','1:2024216','4','4',
'6567504096564374','1557261609.848','10.25.0.41','','10.24.219.2','','445','58258','ET EXPLOIT Possible DOUBLEPULSAR Beacon Response','1:2024216','4','4',
'6567504096564377','1557261609.652','10.25.0.41','','10.24.219.2','','445','58258','ET EXPLOIT Possible DOUBLEPULSAR Beacon Response','1:2024216','4','4',
'6567504096564370','1557261608.51','10.25.0.41','','10.24.219.2','','445','58258','ET EXPLOIT Possible DOUBLEPULSAR Beacon Response','1:2024216','4','4',
'6567504096564369','1557261606.692','10.25.0.41','','10.24.219.2','','445','58258','ET EXPLOIT Possible DOUBLEPULSAR Beacon Response','1:2024216','4','4',
'6567504096564368','1557261603.284','10.25.0.41','','10.24.219.2','','445','58258','ET EXPLOIT Possible DOUBLEPULSAR Beacon Response','1:2024216','4','4',
'6567504096564367','1557261603.095','10.25.0.41','','10.24.219.2','','445','58258','ET EXPLOIT Possible DOUBLEPULSAR Beacon Response','1:2024216','4','4',
'6567504096564366','1557261602.905','10.25.0.41','','10.24.219.2','','445','58258','ET EXPLOIT Possible DOUBLEPULSAR Beacon Response','1:2024216','4','4',
'6567504096564365','1557261602.301','10.25.0.41','','10.24.219.2','','445','58258','ET EXPLOIT Possible DOUBLEPULSAR Beacon Response','1:2024216','4','4',
'6567504096564364','1557261601.322','10.25.0.41','','10.24.219.2','','445','58258','ET EXPLOIT Possible DOUBLEPULSAR Beacon Response','1:2024216','4','4',
'6567504096564326','1557261550.795','10.25.0.41','','10.24.219.2','','445','58258','ET EXPLOIT Possible DOUBLEPULSAR Beacon Response','1:2024216','4','4',
'6567504096564329','1557261550.593','10.25.0.41','','10.24.219.2','','445','58258','ET EXPLOIT Possible DOUBLEPULSAR Beacon Response','1:2024216','4','4',
'6567504096564311','1557261548.922','10.25.0.41','','10.24.219.2','','445','58258','ET EXPLOIT Possible DOUBLEPULSAR Beacon Response','1:2024216','4','4',
'6567504096564322','1557261548.737','10.25.0.41','','10.24.219.2','','445','58258','ET EXPLOIT Possible DOUBLEPULSAR Beacon Response','1:2024216','4','4',
'6567504096564316','1557261547.589','10.25.0.41','','10.24.219.2','','445','58258','ET EXPLOIT Possible DOUBLEPULSAR Beacon Response','1:2024216','4','4',
'6567504096564321','1557261546.42','10.25.0.41','','10.24.219.2','','445','58258','ET EXPLOIT Possible DOUBLEPULSAR Beacon Response','1:2024216','4','4',
'6567504096564315','1557261545.667','10.25.0.41','','10.24.219.2','','445','58258','ET EXPLOIT Possible DOUBLEPULSAR Beacon Response','1:2024216','4','4',
'6567504096564308','1557261542.904','10.25.0.41','','10.24.219.2','','445','58258','ET EXPLOIT Possible DOUBLEPULSAR Beacon Response','1:2024216','4','4',
'6567504096564306','1557261542.708','10.25.0.41','','10.24.219.2','','445','58258','ET EXPLOIT Possible DOUBLEPULSAR Beacon Response','1:2024216','4','4',
'6567504096564307','1557261542.511','10.25.0.41','','10.24.219.2','','445','58258','ET EXPLOIT Possible DOUBLEPULSAR Beacon Response','1:2024216','4','4',
'6567504096564305','1557261542.322','10.25.0.41','','10.24.219.2','','445','58258','ET EXPLOIT Possible DOUBLEPULSAR Beacon Response','1:2024216','4','4',
'6567504096564292','1557261490.271','10.25.0.41','','10.24.219.2','','445','58258','ET EXPLOIT Possible DOUBLEPULSAR Beacon Response','1:2024216','4','4',
'6567504096564287','1557261489.295','10.25.0.41','','10.24.219.2','','445','58258','ET EXPLOIT Possible DOUBLEPULSAR Beacon Response','1:2024216','4','4',
'6567504096564286','1557261488.722','10.25.0.41','','10.24.219.2','','445','58258','ET EXPLOIT Possible DOUBLEPULSAR Beacon Response','1:2024216','4','4',
